Name,Description,File Name,Quantity
Wago_221-413,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,2
Wago_221-415,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,2
MARLIN_CORE_TracoPowerRegulator,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,1
MARLIN_CORE_TracoPowerRegulator,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
ten_60-2412win,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,2
TracoPowerRegulator,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,2
2445PScrewTerminalBlock_VIN-GND,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,2
"2445P Screw Terminal Block- 2 Pin, 3.5mm Pitch",,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
"2445P Screw Terminal Block- 2 Pin, 3.5mm Pitch001",,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
"2445P Screw Terminal Block- 2 Pin, 3.5mm Pitch002",,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
"2445P Screw Terminal Block- 2 Pin, 3.5mm Pitch003",,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
"2445P Screw Terminal Block- 2 Pin, 3.5mm Pitch004",,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
2445PScrewTerminalBlock_VOUT-GND,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,2
"2445P Screw Terminal Block- 2 Pin, 3.5mm Pitch005",,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
"2445P Screw Terminal Block- 2 Pin, 3.5mm Pitch006",,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
"2445P Screw Terminal Block- 2 Pin, 3.5mm Pitch007",,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
"2445P Screw Terminal Block- 2 Pin, 3.5mm Pitch008",,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
"2445P Screw Terminal Block- 2 Pin, 3.5mm Pitch009",,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
R_D2.5_P10.6_0.25W_47_Ohm_MKV_Horizontal,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,2
Nose_MKV001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
Band_1_MKV001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
Segment_1_MKV001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
Band_2_MKV001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
Segment_2_MKV001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
Band_3_MKV001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
Segment_3_MKV001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
Band_4_MKV001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
Segment_4_MKIV001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
Band_5_MKV001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
Butt_MKV001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
Leg_MedianRadius0.6_MKV001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
Leg_MedianRadius0.6_clone_MKV001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,1
Traco_TEN-HS1,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_TracoPowerRegulator.FCStd,2
PowerMount,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,1
MARLIN_CORE_Waveshare_UPS,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,1
MARLIN_CORE_Waveshare_UPS,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_WaveshareUPS.FCStd,1
UPS_Module_3S_TRev_Solid,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_WaveshareUPS.FCStd,2
Battery_18650_001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_WaveshareUPS.FCStd,2
Battery_18650_002,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_WaveshareUPS.FCStd,2
Battery_18650_003,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_WaveshareUPS.FCStd,2
65375-SIP-M2-6-A2,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,5
WagoConnectorHousing,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,1
9243-SPP-M2-8-A2,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,3
504849-HPS-4-2.2-5-POM-BL,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,6
7903-HPN-M2-A4,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,9
464633-HHTPS-M2-4-5-SS,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,2
464707-HHTPS-M3-5-40-S-Z,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,1
